mass,metabolic_rate
0.0010000000000000002,0.01959497005853896
0.001084661231454405,0.020831852384083725
0.0011764899870201858,0.02214680824882555
0.0012760930781150924,0.0235447656582739
0.0013841286895587578,0.02503096366713198
0.0015013107289081737,0.026610972013445
0.0016284135440132496,0.028173418865466742
0.0017662770399664426,0.029951814033393438
0.001915812229259644,0.031842464965684054
0.0020780072518241737,0.03385245732951261
0.002253933904734791,0.03598932403733329
0.002444754724726473,0.03826107347330575
0.0026517306703257907,0.0406762195073367
0.0028762294543609886,0.04324381339903433
0.00311973458191262,0.0446364657353158
0.003383855153428235,0.047454403758738085
0.0036703364977808024,0.05045023699785763
0.003981071705534972,0.05363519567598557
0.004318114138633853,0.057021218946777266
0.004683690999171271,0.06062099964733546
0.005080218046913022,0.0644480318718387
0.005510315562821569,0.06851666155597709
0.005976825664072413,0.07253111047340165
0.006482831084981079,0.07711010533395551
0.0070316755479464714,0.08197817293748584
0.0076269858590234454,0.08715356212923393
0.008272695874133708,0.09265567375832093
0.008973072494285632,0.09850513340486118
0.009732743861581508,0.10472386869043643
0.010556729942333297,0.11133519146697778
0.011450475699382819,0.11887037030286625
0.012419887072831304,0.12637461385241305
0.013471370006941843,0.13435258806454387
0.014611872781107484,0.1428341981896242
0.01584893192461114,0.15185123726781538
0.017190722018585746,0.16143750530680884
0.018646109714269565,0.17162893595612036
0.02022471232451357,0.18246373120984552
0.021936961375717965,0.1931577373878279
0.02379417154015396,0.20535183231398366
0.02580861540418075,0.21831572787768208
0.027993604566431823,0.23209801982709707
0.030363577601873585,0.24675037159064636
0.03293419547300958,0.2623277079129066
0.03572244501871467,0.2788884207438891
0.038746751204561315,0.29649458809782364
0.04202709887639691,0.3165552687928293
0.04558516482172872,0.3365389084584188
0.04944446101158828,0.3577840589379616
0.053630489969428666,0.3803703542772244
0.05817091329374359,0.4043824553939547
0.06309573444801937,0.42991036740793503
0.06843749702590879,0.4570497769567434
0.07423149980177933,0.48590241085882185
0.08051602998770542,0.5143893568952871
0.08733261623828434,0.546862261733065
0.09472630307515242,0.5813851087484085
0.10274594854461808,0.6180873036655811
0.11144454707535634,0.6571064209762423
0.12087957966963438,0.6985887195809514
0.13111339374215633,0.7426896910176168
0.14221361511653363,0.7895746422138157
0.1542535949018821,0.8429807539833677
0.1673128942025443,0.8961958085106873
0.1814778098639324,0.9527701165604132
0.1968419447286612,1.0129157302050626
0.2135068261712695,1.0768580870037578
0.2315825769988509,1.1448368549313048
0.2511886431509581,1.2171068305742647
0.272454583007479,1.293938894171272
0.29552092352028875,1.369821529482236
0.3205400888260593,1.456295405748706
0.3476774074765777,1.548228082815001
0.37711220494242,1.6459641493567934
0.4090389886093311,1.7498699459553502
0.4436687330978612,1.8603349380434029
0.4812302743997417,1.9777731756884178
0.5219718220435648,2.1026248453582843
0.5661625992822724,2.1692500829957724
0.6140946221409368,2.3062074223487774
0.6660846290809158,2.4518114914459637
0.7224761740317565,2.606608185708478
0.7836418966217524,2.7711778639308697
0.8499859846090153,2.946137523940176
0.9219468447849991,3.132143115786491
1,3.3298920006784707
1.0846612314544046,3.5247468657042065
1.1764899870201855,3.747286802579514
1.276093078115092,3.9838768206935673
1.3841286895587577,4.235403954808487
1.5013107289081733,4.502811240444321
1.6284135440132506,4.7871012491693605
1.766277039966442,5.089339847154496
1.9158122292596418,5.410660191161212
2.078007251824173,5.77730985928618
2.2539339047347906,6.142057696687934
2.4447547247264727,6.529833244300183
2.6517306703257923,6.942090285952928
2.876229454360988,7.380374383860389
3.1197345819126165,7.8463286724004835
3.3838551534282337,8.341700017701914
3.670336497780798,8.86834556639768
3.981071705534978,9.387459538251687
4.318114138633852,9.980138409169095
4.683690999171274,10.610235380780273
5.0802180469130205,11.280112753068165
5.510315562821562,11.992281960706777
5.976825664072412,12.74941298865687
6.482831084981078,13.55434438076521
7.0316755479464765,14.410093880812132
7.626985859023444,15.386276725912246
8.272695874133706,16.357663206077508
8.97307249428563,17.390375259216903
9.732743861581488,18.488284412440386
10.556729942333304,19.65550659967047
11.450475699382817,20.896417591929644
12.419887072831312,22.21566939918568
13.47137000694184,23.61820770864916
14.611872781107481,25.001152399643388
15.848931924611122,26.579573246873384
17.190722018585713,28.257643931268817
18.646109714269578,30.04165547896704
20.224712324513558,31.938296068505327
21.93696137571797,33.95467610229795
23.794171540153943,36.09835486261164
25.808615404180745,38.377368847457426
27.99360456643178,40.976355321808995
30.36357760187362,43.5632775174969
32.93419547300959,46.31351413107713
35.72244501871463,49.237375120225245
38.746751204561306,52.34582129286001
42.02709887639686,55.650505390415745
45.58516482172869,59.16381577182308
49.44446101158829,62.89892284826237
53.6304899694287,66.58307553037162
58.170913293743574,70.78664394853483
63.095734448019364,75.25558948275284
68.43749702590871,80.00666541884374
74.23149980177924,85.05768265748108
80.51602998770548,90.42757648032196
87.33261623828432,96.13647752523022
94.72630307515249,102.20578725221368
102.74594854461796,110.29738802124454
111.44454707535631,117.2602226894534
120.87957966963424,124.66259727307619
131.1133937421564,132.53225787511536
142.21361511653373,140.89870204772862
154.25359490188205,149.79328934922793
167.3128942025444,159.249358872094
181.47780986393218,169.30235420742875
196.84194472866116,179.22956476797538
213.50682617126967,190.54404503731962
231.58257699885064,202.57277639866732
251.18864315095806,215.36084660773773
272.4545830074789,228.95618957713205
295.52092352028865,243.40976502204128
320.54008882605893,258.77574947245216
347.67740747657825,275.1117393123431
377.11220494241985,293.7171985036148
409.03898860933134,312.2585794115875
443.6687330978611,331.970392429338
481.2302743997412,352.92652011759594
521.9718220435648,375.2055087069231
566.1625992822718,398.89086250645494
614.0946221409372,424.0713568427491
666.0846290809156,450.84137079765424
722.476174031757,477.28488740868033
783.6418966217516,507.4145627216684
849.9859846090151,539.4462035434502
921.9468447849981,573.4998709741978
999.9999999999998,609.7032048001404
1084.6612314544054,648.1919018508046
1176.4899870201853,689.1102246171076
1276.0930781150919,732.6115419040174
1384.128689558756,782.1423610165888
1501.310728908173,831.5154635733738
1628.4135440132502,884.0052055150775
1766.2770399664416,939.8083185049835
1915.8122292596431,999.1339522759474
2078.007251824171,1062.2044584670489
2253.9339047347903,1129.2562238968974
2444.75472472647,1200.5405565333062
2651.730670325794,1270.9778008129738
2876.2294543609873,1351.2096148139822
3119.734581912616,1436.5060474071872
3383.8551534282333,1527.1867955253265
3670.3364977807973,1623.5917361098884
3981.07170553497,1726.0821999107673
4318.114138633851,1835.0423257126408
4683.690999171273,1950.8804999444635
5080.218046913019,2082.7377317799414
5510.315562821571,2214.2090976902605
5976.82566407241,2353.979341229545
6482.831084981065,2502.5723030691315
7031.675547946475,2660.5448890178154
7626.985859023442,2828.489157219377
8272.695874133704,3007.0345366681818
8973.072494285643,3196.850186368178
9732.743861581486,3384.469159286018
10556.729942333282,3598.113381878419
11450.475699382814,3825.2436090873
12419.887072831265,4066.7111104379696
13471.370006941814,4323.420888730966
14611.872781107451,4596.335071429341
15848.931924611175,4886.476516734793
17190.722018585737,5194.932646407447
